ID,Categoria,Nombre,Precio,Stock,Tiene_Foto_Oficial,Estado_Imagen,URL_Imagen
"58e771af-1b13-4c9f-8572-e5a89fc54404","Aguardiente","Amarillo de manzanares Botella (750ml)",59500,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/amarillo_de_manzanares_botella_750ml.webp"
"0f911c00-ca77-455d-b420-e9de00b865c2","Aguardiente","Amarillo de manzanares Litro botella (1000ml)",75000,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/amarillo_de_manzanares_litro_botella_1000ml.webp"
"1594e3e5-753a-420c-96ae-1a54837bdd70","Aguardiente","Amarillo de manzanares Litro caja (1000ml)",60000,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/amarillo_de_manzanares_litro_caja_1000ml.webp"
"8fc6d2b7-1b55-4874-ad34-59c2b2901cea","Aguardiente","Amarillo de manzanares Media (375ml)",31500,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/amarillo_de_manzanares_media_375ml.webp"
"49f8162b-4233-41e0-aafd-e51c4415a088","Aguardiente","Antioqueño azul Botella (750ml)",59500,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/antioqueno_azul_botella_750ml.webp"
"e9d06687-1b10-42d6-8dc9-a687ca2e53db","Aguardiente","Antioqueño azul Cuarto (260ml)",21500,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/antioqueno_azul_cuarto_260ml.webp"
"44f59803-9e25-4e63-a479-905529213c05","Aguardiente","Antioqueño azul Garrafa (2000ml)",145500,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/antioqueno_azul_garrafa_2000ml.webp"
"1906afe7-fed5-494e-bbf3-5f9cd7558a68","Aguardiente","Antioqueño azul Litro caja (1050ml)",74500,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/antioqueno_azul_litro_caja_1050ml.webp"
"7cdf8449-4a8d-48b0-8b60-b2298902b7f4","Aguardiente","Antioqueño azul Media (375ml)",32500,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/antioqueno_azul_media_375ml.webp"
"eb87562e-46c7-4c37-8104-832c62635dc8","Aguardiente","Antioqueño real edición limitada Botella (750ml)",57500,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/antioqueno_real_edicion_limitada_botella_750ml.webp"
"240506e4-9753-43f5-896d-676a74906da7","Aguardiente","Antioqueño rojo Botella (750ml)",59000,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/antioqueno_rojo_botella_750ml.webp"
"8d2fed18-8e3a-4bc7-abad-03cbf4febeb3","Aguardiente","Antioqueño rojo Cuarto (260ml)",21500,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/antioqueno_rojo_cuarto_260ml.webp"
"d6a02beb-e51b-4961-abe7-19562b495d60","Aguardiente","Antioqueño rojo Garrafa (2000ml)",146000,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/antioqueno_rojo_garrafa_2000ml.webp"
"d136f622-4877-4800-b9da-69e250fde401","Aguardiente","Antioqueño rojo Litro caja (1050 ml)",74500,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/antioqueno_rojo_litro_caja_1050_ml.webp"
"687c4f4a-2f9c-466e-af17-643620e14b49","Aguardiente","Antioqueño rojo Media (375ml)",32500,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/antioqueno_rojo_media_375ml.webp"
"4e2257a5-b5a1-4e9d-88d1-551130ab8812","Aguardiente","Antioqueño verde Botella (750ml)",53000,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/antioqueno_verde_botella_750ml.webp"
"30fbbfd2-c767-4cd8-8203-1127139e01bd","Aguardiente","Antioqueño verde Litro caja (1000ml)",63500,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/antioqueno_verde_litro_caja_1000ml.webp"
"d48ea672-2de9-4553-80d4-d644879ca36a","Aguardiente","Antioqueño verde Media (375ml)",27500,10,SI,"OFICIAL_WEBP","https://kzzpbxgsffmeyvckdmhs.supabase.co/storage/v1/object/public/diverpremier-assets/products/antioqueno_verde_media_375ml.webp"
